Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region
,Costa Rica,9.7489,-83.7534,5/9/2020,780,6,480,294,Americas
,Cote d'Ivoire,7.54,-5.5471,5/9/2020,1667,21,769,877,Africa
,Croatia,45.1,15.2,5/9/2020,2176,87,1726,363,Europe
,Cuba,21.521757,-77.781167,5/9/2020,1754,74,1140,540,Americas
,Cyprus,35.1264,33.4299,5/9/2020,892,15,401,476,Europe
,Czechia,49.8175,15.473,5/9/2020,8095,276,4447,3372,Europe
Faroe Islands,Denmark,61.8926,-6.9118,5/9/2020,187,0,187,0,Europe
Greenland,Greenland,71.7069,-42.6043,5/9/2020,11,0,11,0,Europe
,Denmark,56.2639,9.5018,5/9/2020,10319,526,8093,1700,Europe
,Djibouti,11.8251,42.5903,5/9/2020,1189,3,834,352,Eastern Mediterranean
,Dominican Republic,18.7357,-70.1627,5/9/2020,9882,385,2584,6913,Americas
,Ecuador,-1.8312,-78.1834,5/9/2020,29071,1717,3433,23921,Americas
,Egypt,26.820553,30.802498,5/9/2020,8964,514,2002,6448,Eastern Mediterranean
,El Salvador,13.7942,-88.8965,5/9/2020,784,17,276,491,Americas
,Equatorial Guinea,1.6508,10.2679,5/9/2020,439,4,13,422,Africa
,Eritrea,15.1794,39.7823,5/9/2020,39,0,37,2,Africa
,Estonia,58.5953,25.0136,5/9/2020,1733,60,747,926,Europe
,Eswatini,-26.5225,31.4659,5/9/2020,163,2,14,147,Africa
,Ethiopia,9.145,40.4897,5/9/2020,210,5,97,108,Africa
,Fiji,-17.7134,178.065,5/9/2020,18,0,14,4,Western Pacific
,Finland,61.92411,25.748151,5/9/2020,5880,265,4000,1615,Europe
French Guiana,France,3.9339,-53.1258,5/9/2020,141,1,119,21,Europe
French Polynesia,France,-17.6797,149.4068,5/9/2020,60,0,56,4,Europe
Guadeloupe,France,16.265,-61.551,5/9/2020,154,13,104,37,Europe
Mayotte,France,-12.8275,45.166244,5/9/2020,988,11,492,485,Europe
New Caledonia,France,-20.904305,165.618042,5/9/2020,18,0,18,0,Europe
Reunion,France,-21.1151,55.5364,5/9/2020,431,0,354,77,Europe
Saint Barthelemy,France,17.9,-62.8333,5/9/2020,6,0,6,0,Europe
St Martin,France,18.0708,-63.0501,5/9/2020,39,3,30,6,Europe
Martinique,France,14.6415,-61.0242,5/9/2020,186,14,83,89,Europe
,France,46.2276,2.2137,5/9/2020,174758,26271,54886,93601,Europe
,Gabon,-0.8037,11.6094,5/9/2020,661,8,110,543,Africa
,Gambia,13.4432,-15.3101,5/9/2020,20,1,9,10,Africa
,Georgia,42.3154,43.3569,5/9/2020,626,10,297,319,Europe
,Germany,51.165691,10.451526,5/9/2020,171324,7549,143300,20475,Europe
,Ghana,7.9465,-1.0232,5/9/2020,4263,22,378,3863,Africa
,Greece,39.0742,21.8243,5/9/2020,2710,151,1374,1185,Europe
,Guatemala,15.7835,-90.2308,5/9/2020,967,24,104,839,Americas
,Guinea,9.9456,-9.6966,5/9/2020,2042,11,698,1333,Africa
,Guyana,4.860416,-58.93018,5/9/2020,94,10,35,49,Americas
,Haiti,18.9712,-72.2852,5/9/2020,151,12,17,122,Americas
,Holy See,41.9029,12.4534,5/9/2020,12,0,2,10,Europe
,Honduras,15.2,-86.2419,5/9/2020,1830,108,195,1527,Americas
,Hungary,47.1625,19.5033,5/9/2020,3213,405,904,1904,Europe
,Iceland,64.9631,-19.0208,5/9/2020,1801,10,1773,18,Europe
,India,20.593684,78.96288,5/9/2020,62808,2101,19301,41406,South-East Asia
,Indonesia,-0.7893,113.9213,5/9/2020,13645,959,2607,10079,South-East Asia
,Iran,32.427908,53.688046,5/9/2020,106220,6589,85064,14567,Eastern Mediterranean
,Iraq,33.223191,43.679291,5/9/2020,2679,107,1702,870,Eastern Mediterranean
,Ireland,53.1424,-7.6921,5/9/2020,22760,1446,17110,4204,Europe
,Israel,31.046051,34.851612,5/9/2020,16454,247,11376,4831,Europe
,Italy,41.87194,12.56738,5/9/2020,218268,30395,103031,84842,Europe
,Jamaica,18.1096,-77.2975,5/9/2020,490,9,62,419,Americas
,Japan,36.204824,138.252924,5/9/2020,15755,654,5906,9195,Western Pacific
,Jordan,31.24,36.51,5/9/2020,522,9,387,126,Eastern Mediterranean
,Kazakhstan,48.0196,66.9237,5/9/2020,4975,31,1776,3168,Europe
,Kenya,-0.0236,37.9062,5/9/2020,649,30,207,412,Africa
,South Korea,35.907757,127.766922,5/9/2020,10874,256,9610,1008,Western Pacific
,Kuwait,29.31166,47.481766,5/9/2020,7623,49,2622,4952,Eastern Mediterranean
,Kyrgyzstan,41.20438,74.766098,5/9/2020,931,12,658,261,Europe
,Latvia,56.8796,24.6032,5/9/2020,930,18,464,448,Europe
,Lebanon,33.8547,35.8623,5/9/2020,809,26,234,549,Eastern Mediterranean
,Liberia,6.428055,-9.429499,5/9/2020,199,20,79,100,Africa
,Liechtenstein,47.14,9.55,5/9/2020,82,1,81,0,Europe
,Lithuania,55.1694,23.8813,5/9/2020,1444,49,828,567,Europe
,Luxembourg,49.8153,6.1296,5/9/2020,3877,101,3550,226,Europe
,Madagascar,-18.766947,46.869107,5/9/2020,193,0,101,92,Africa
,Malaysia,4.210484,101.975766,5/9/2020,6589,108,4929,1552,Western Pacific
,Maldives,3.2028,73.2207,5/9/2020,790,3,29,758,South-East Asia
,Malta,35.9375,14.3754,5/9/2020,490,5,427,58,Europe
,Mauritania,21.0079,-10.9408,5/9/2020,8,1,6,1,Africa
,Mauritius,-20.348404,57.552152,5/9/2020,332,10,320,2,Africa
,Mexico,23.6345,-102.5528,5/9/2020,33460,3353,21824,8283,Americas
,Moldova,47.4116,28.3699,5/9/2020,4867,161,1925,2781,Europe
,Monaco,43.7333,7.4167,5/9/2020,96,4,82,10,Europe
,Mongolia,46.8625,103.8467,5/9/2020,42,0,14,28,Western Pacific
,Montenegro,42.708678,19.37439,5/9/2020,324,8,274,42,Europe
,Morocco,31.7917,-7.0926,5/9/2020,5910,186,2461,3263,Eastern Mediterranean
,Namibia,-22.9576,18.4904,5/9/2020,16,0,10,6,Africa
,Nepal,28.1667,84.25,5/9/2020,110,0,31,79,South-East Asia
Aruba,Netherlands,12.5211,-69.9683,5/9/2020,101,3,89,9,Europe
Curacao,Netherlands,12.1696,-68.99,5/9/2020,16,1,14,1,Europe
Sint Maarten,Netherlands,18.0425,-63.0548,5/9/2020,76,15,46,15,Europe
,Netherlands,52.1326,5.2913,5/9/2020,42382,5422,0,36960,Europe
,New Zealand,-40.9006,174.886,5/9/2020,1494,21,1371,102,Western Pacific
,Nicaragua,12.865416,-85.207229,5/9/2020,16,5,7,4,Americas
,Niger,17.607789,8.081666,5/9/2020,815,45,617,153,Africa
,Nigeria,9.082,8.6753,5/9/2020,4151,128,745,3278,Africa
,North Macedonia,41.6086,21.7453,5/9/2020,1622,91,1112,419,Europe
,Norway,60.472,8.4689,5/9/2020,8099,219,32,7848,Europe
,Oman,21.512583,55.923255,5/9/2020,3224,17,1068,2139,Eastern Mediterranean
,Pakistan,30.3753,69.3451,5/9/2020,30334,659,8063,21612,Eastern Mediterranean
,Panama,8.538,-80.7821,5/9/2020,8282,237,4501,3544,Americas
,Papua New Guinea,-6.314993,143.95555,5/9/2020,8,0,8,0,Western Pacific
,Paraguay,-23.4425,-58.4438,5/9/2020,689,10,155,524,Americas
,Peru,-9.19,-75.0152,5/9/2020,65015,1814,20246,42955,Americas
,Philippines,12.879721,121.774017,5/9/2020,10610,704,1842,8064,Western Pacific
,Poland,51.9194,19.1451,5/9/2020,15651,785,5437,9429,Europe
,Portugal,39.3999,-8.2245,5/9/2020,27406,1126,2499,23781,Europe
,Qatar,25.3548,51.1839,5/9/2020,21331,13,2449,18869,Eastern Mediterranean
,Romania,45.9432,24.9668,5/9/2020,15131,939,6912,7280,Europe
,Russia,61.52401,105.318756,5/9/2020,198676,1827,31916,164933,Europe
,Rwanda,-1.9403,29.8739,5/9/2020,280,0,140,140,Africa
,Saint Lucia,13.9094,-60.9789,5/9/2020,18,0,17,1,Americas
,Saint Vincent and the Grenadines,12.9843,-61.2872,5/9/2020,17,0,9,8,Americas
,San Marino,43.9424,12.4578,5/9/2020,637,41,126,470,Europe
,Saudi Arabia,23.885942,45.079162,5/9/2020,37136,239,10144,26753,Eastern Mediterranean
,Senegal,14.4974,-14.4524,5/9/2020,1634,17,643,974,Africa
,Serbia,44.0165,21.0059,5/9/2020,10032,215,2732,7085,Europe
,Seychelles,-4.6796,55.492,5/9/2020,11,0,8,3,Africa
,Singapore,1.2833,103.8333,5/9/2020,22460,20,2296,20144,Western Pacific
,Slovakia,48.669,19.699,5/9/2020,1455,26,919,510,Europe
,Slovenia,46.1512,14.9955,5/9/2020,1454,101,255,1098,Europe
,Somalia,5.152149,46.199616,5/9/2020,997,48,110,839,Eastern Mediterranean
,South Africa,-30.5595,22.9375,5/9/2020,9420,186,3983,5251,Africa
,Spain,40.463667,-3.74922,5/9/2020,223578,26478,133952,63148,Europe
,Sri Lanka,7.873054,80.771797,5/9/2020,847,9,260,578,South-East Asia
,Sudan,12.8628,30.2176,5/9/2020,1164,64,119,981,Eastern Mediterranean
,Suriname,3.9193,-56.0278,5/9/2020,10,1,9,0,Americas
,Sweden,60.128161,18.643501,5/9/2020,25921,3220,0,22701,Europe
,Switzerland,46.8182,8.2275,5/9/2020,30251,1830,26400,2021,Europe
,Taiwan*,23.7,121,5/9/2020,440,6,361,73,Western Pacific
,Tanzania,-6.369028,34.888822,5/9/2020,509,21,183,305,Africa
,Thailand,15.870032,100.992541,5/9/2020,3004,56,2787,161,South-East Asia
,Togo,8.6195,0.8248,5/9/2020,153,10,87,56,Africa
,Trinidad and Tobago,10.6918,-61.2225,5/9/2020,116,8,104,4,Americas
,Tunisia,33.886917,9.537499,5/9/2020,1032,45,660,327,Eastern Mediterranean
,Turkey,38.9637,35.2433,5/9/2020,137115,3739,89480,43896,Europe
,Uganda,1.373333,32.290275,5/9/2020,116,0,55,61,Africa
,Ukraine,48.3794,31.1656,5/9/2020,14710,376,2909,11425,Europe
,United Arab Emirates,23.424076,53.847818,5/9/2020,17417,185,4295,12937,Eastern Mediterranean
Bermuda,United Kingdom,32.3078,-64.7505,5/9/2020,118,7,64,47,Europe
Cayman Islands,United Kingdom,19.3133,-81.2546,5/9/2020,81,1,41,39,Europe
Channel Islands,United Kingdom,49.3723,-2.3644,5/9/2020,545,41,447,57,Europe
Gibraltar,United Kingdom,36.1408,-5.3536,5/9/2020,146,0,142,4,Europe
Isle of Man,United Kingdom,54.2361,-4.5481,5/9/2020,329,23,271,35,Europe
Montserrat,United Kingdom,16.742498,-62.187366,5/9/2020,11,1,8,2,Europe
,United Kingdom,55.3781,-3.436,5/9/2020,208324,31610,0,176714,Europe
,Uruguay,-32.5228,-55.7658,5/9/2020,702,18,513,171,Americas
,US,40,-100,5/9/2020,1314320,79976,212534,1021810,Americas
,Uzbekistan,41.377491,64.585262,5/9/2020,2349,10,1846,493,Europe
,Venezuela,6.4238,-66.5897,5/9/2020,402,10,190,202,Americas
,Vietnam,14.058324,108.277199,5/9/2020,288,0,241,47,Western Pacific
,Zambia,-13.133897,27.849332,5/9/2020,252,7,112,133,Africa
,Zimbabwe,-19.015438,29.154857,5/9/2020,35,4,9,22,Africa
,Dominica,15.415,-61.371,5/9/2020,16,0,14,2,Americas
,Grenada,12.1165,-61.679,5/9/2020,21,0,13,8,Americas
,Mozambique,-18.665695,35.529562,5/9/2020,87,0,0,87,Africa
,Syria,34.802075,38.996815,5/9/2020,47,3,0,44,Eastern Mediterranean
,Timor-Leste,-8.874217,125.727539,5/9/2020,24,0,0,24,South-East Asia
,Belize,17.1899,-88.4976,5/9/2020,18,2,16,0,Americas
,Laos,19.85627,102.495496,5/9/2020,19,0,13,6,Western Pacific
,Libya,26.3351,17.228331,5/9/2020,64,3,24,37,Eastern Mediterranean
,West Bank and Gaza,31.9522,35.2332,5/9/2020,375,2,228,145,Eastern Mediterranean
,Guinea-Bissau,11.8037,-15.1804,5/9/2020,641,3,25,613,Africa
,Mali,17.570692,-3.996166,5/9/2020,692,37,298,357,Africa
,Saint Kitts and Nevis,17.357822,-62.782998,5/9/2020,15,0,14,1,Americas
Northwest Territories,Canada,64.8255,-124.8457,5/9/2020,5,0,0,5,Americas
Yukon,Canada,64.2823,-135,5/9/2020,11,0,0,11,Americas
,Kosovo,42.602636,20.902977,5/9/2020,862,28,622,212,Europe
,Burma,21.9162,95.956,5/9/2020,178,6,68,104,South-East Asia
Anguilla,United Kingdom,18.2206,-63.0686,5/9/2020,3,0,3,0,Europe
British Virgin Islands,United Kingdom,18.4207,-64.64,5/9/2020,7,1,4,2,Europe
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,5/9/2020,12,1,8,3,Europe
,Botswana,-22.3285,24.6849,5/9/2020,23,1,12,10,Africa
,Burundi,-3.3731,29.9189,5/9/2020,15,1,7,7,Africa
,Sierra Leone,8.460555,-11.779889,5/9/2020,291,18,58,215,Africa
,Malawi,-13.2543,34.3015,5/9/2020,56,3,14,39,Africa
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,5/9/2020,13,0,13,0,Europe
Saint Pierre and Miquelon,France,46.8852,-56.3159,5/9/2020,1,0,0,1,Europe
,South Sudan,6.877,31.307,5/9/2020,120,0,2,118,Africa
,Western Sahara,24.2155,-12.8858,5/9/2020,6,0,5,1,Africa
,Sao Tome and Principe,0.1864,6.6131,5/9/2020,208,5,4,199,Africa
,Yemen,15.552727,48.516388,5/9/2020,34,7,1,26,Eastern Mediterranean
,Comoros,-11.6455,43.3333,5/9/2020,11,1,0,10,Africa
,Tajikistan,38.861,71.2761,5/9/2020,612,20,0,592,Europe
,Lesotho,-29.61,28.2336,5/9/2020,0,0,0,0,Africa
,Afghanistan,33.93911,67.709953,5/10/2020,4402,120,558,3724,Eastern Mediterranean
,Albania,41.1533,20.1683,5/10/2020,868,31,650,187,Europe
,Algeria,28.0339,1.6596,5/10/2020,5723,502,2678,2543,Africa
,Andorra,42.5063,1.5218,5/10/2020,755,48,550,157,Europe
,Angola,-11.2027,17.8739,5/10/2020,45,2,13,30,Africa
,Antigua and Barbuda,17.0608,-61.7964,5/10/2020,25,3,19,3,Americas
,Argentina,-38.4161,-63.6167,5/10/2020,6034,305,1757,3972,Americas
,Armenia,40.0691,45.0382,5/10/2020,3313,45,1325,1943,Europe
Australian Capital Territory,Australia,-35.4735,149.0124,5/10/2020,107,3,104,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,5/10/2020,3053,44,2517,492,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,5/10/2020,29,0,27,2,Western Pacific
Queensland,Australia,-27.4698,153.0251,5/10/2020,1045,6,1021,18,Western Pacific
South Australia,Australia,-34.9285,138.6007,5/10/2020,439,4,434,1,Western Pacific
Tasmania,Australia,-42.8821,147.3272,5/10/2020,227,13,182,32,Western Pacific
Victoria,Australia,-37.8136,144.9631,5/10/2020,1496,18,1346,132,Western Pacific
Western Australia,Australia,-31.9505,115.8605,5/10/2020,552,9,536,7,Western Pacific
,Austria,47.5162,14.5501,5/10/2020,15871,618,13991,1262,Europe
,Azerbaijan,40.1431,47.5769,5/10/2020,2519,32,1650,837,Europe
,Bahamas,25.025885,-78.035889,5/10/2020,92,11,37,44,Americas
,Bahrain,26.0275,50.55,5/10/2020,4941,8,2070,2863,Eastern Mediterranean
,Bangladesh,23.685,90.3563,5/10/2020,14657,228,2650,11779,South-East Asia
,Barbados,13.1939,-59.5432,5/10/2020,84,7,57,20,Americas
,Belarus,53.7098,27.9534,5/10/2020,22973,131,6406,16436,Europe
,Belgium,50.8333,4.469936,5/10/2020,53081,8656,13642,30783,Europe
,Benin,9.3077,2.3158,5/10/2020,319,2,62,255,Africa
,Bhutan,27.5142,90.4336,5/10/2020,7,0,5,2,South-East Asia
,Bolivia,-16.2902,-63.5887,5/10/2020,2556,118,273,2165,Americas
,Bosnia and Herzegovina,43.9159,17.6791,5/10/2020,2117,107,1106,904,Europe
,Brazil,-14.235,-51.9253,5/10/2020,162699,11123,64957,86619,Americas
,Brunei,4.5353,114.7277,5/10/2020,141,1,134,6,Western Pacific
,Bulgaria,42.7339,25.4858,5/10/2020,1965,91,444,1430,Europe
,Burkina Faso,12.2383,-1.5616,5/10/2020,751,49,577,125,Africa
,Cabo Verde,16.5388,-23.0418,5/10/2020,246,2,56,188,Africa
,Cambodia,11.55,104.9167,5/10/2020,122,0,120,2,Western Pacific
,Cameroon,3.848,11.5021,5/10/2020,2579,114,1465,1000,Africa
Alberta,Canada,53.9333,-116.5765,5/10/2020,6253,117,0,6136,Americas
British Columbia,Canada,53.7267,-127.6476,5/10/2020,2330,129,0,2201,Americas
Manitoba,Canada,53.7609,-98.8139,5/10/2020,287,7,0,280,Americas
New Brunswick,Canada,46.5653,-66.4619,5/10/2020,120,0,0,120,Americas
Newfoundland and Labrador,Canada,53.1355,-57.6604,5/10/2020,261,3,0,258,Americas
Nova Scotia,Canada,44.682,-63.7443,5/10/2020,1018,47,0,971,Americas
Ontario,Canada,51.2538,-85.3232,5/10/2020,21469,1751,0,19718,Americas
Prince Edward Island,Canada,46.5107,-63.4168,5/10/2020,27,0,0,27,Americas
Quebec,Canada,52.9399,-73.5491,5/10/2020,37732,2929,0,34803,Americas
Saskatchewan,Canada,52.9399,-106.4509,5/10/2020,564,7,0,557,Americas
,Central African Republic,6.6111,20.9394,5/10/2020,143,0,10,133,Africa
,Chad,15.4542,18.7322,5/10/2020,322,31,53,238,Africa
,Chile,-35.6751,-71.543,5/10/2020,33855,312,13112,20431,Americas
Anhui,China,31.8257,117.2264,5/10/2020,991,6,985,0,Western Pacific
Beijing,China,40.1824,116.4142,5/10/2020,593,9,568,16,Western Pacific
Chongqing,China,30.0572,107.874,5/10/2020,579,6,573,0,Western Pacific
Fujian,China,26.0789,117.9874,5/10/2020,356,1,354,1,Western Pacific
Gansu,China,35.7518,104.2861,5/10/2020,139,2,137,0,Western Pacific
Guangdong,China,23.3417,113.4244,5/10/2020,1589,8,1577,4,Western Pacific
Guangxi,China,23.8298,108.7881,5/10/2020,254,2,252,0,Western Pacific
Guizhou,China,26.8154,106.8748,5/10/2020,147,2,145,0,Western Pacific
Hainan,China,19.1959,109.7453,5/10/2020,168,6,162,0,Western Pacific
Hebei,China,39.549,116.1306,5/10/2020,328,6,0,322,Western Pacific
Heilongjiang,China,47.862,127.7615,5/10/2020,945,13,904,28,Western Pacific
Henan,China,37.8957,114.9042,5/10/2020,1276,22,0,1254,Western Pacific
Hong Kong,China,22.3,114.2,5/10/2020,1047,4,982,61,Western Pacific
Hubei,China,30.9756,112.2707,5/10/2020,68134,4512,63616,6,Western Pacific
Hunan,China,27.6104,111.7088,5/10/2020,1019,4,1015,0,Western Pacific
Inner Mongolia,China,44.0935,113.9448,5/10/2020,208,1,187,20,Western Pacific
Jiangsu,China,32.9711,119.455,5/10/2020,653,0,653,0,Western Pacific
Jiangxi,China,27.614,115.7221,5/10/2020,937,1,936,0,Western Pacific
Jilin,China,43.6661,126.1923,5/10/2020,127,1,105,21,Western Pacific
Liaoning,China,41.2956,122.6085,5/10/2020,147,2,144,1,Western Pacific
Macau,China,22.1667,113.55,5/10/2020,45,0,41,4,Western Pacific
Ningxia,China,37.2692,106.1655,5/10/2020,75,0,75,0,Western Pacific
Qinghai,China,35.7452,95.9956,5/10/2020,18,0,18,0,Western Pacific
Shaanxi,China,35.1917,108.8701,5/10/2020,308,3,294,11,Western Pacific
Shandong,China,36.3427,118.1498,5/10/2020,788,7,777,4,Western Pacific
Shanghai,China,31.202,121.4491,5/10/2020,659,7,627,25,Western Pacific
Shanxi,China,37.5777,112.2922,5/10/2020,198,0,197,1,Western Pacific
Sichuan,China,30.6171,102.7103,5/10/2020,561,3,558,0,Western Pacific
Tianjin,China,39.3054,117.323,5/10/2020,191,3,186,2,Western Pacific
Tibet,China,31.6927,88.0924,5/10/2020,1,0,1,0,Western Pacific
Xinjiang,China,41.1129,85.2401,5/10/2020,76,3,73,0,Western Pacific
Yunnan,China,24.974,101.487,5/10/2020,185,2,183,0,Western Pacific
Zhejiang,China,29.1832,120.0934,5/10/2020,1268,1,1267,0,Western Pacific
,Colombia,4.5709,-74.2973,5/10/2020,11063,463,2705,7895,Americas
,Congo (Brazzaville),-0.228,15.8277,5/10/2020,274,10,33,231,Africa
,Congo (Kinshasa),-4.0383,21.7587,5/10/2020,991,41,136,814,Africa
,Costa Rica,9.7489,-83.7534,5/10/2020,792,7,501,284,Americas
,Cote d'Ivoire,7.54,-5.5471,5/10/2020,1700,21,794,885,Africa
,Croatia,45.1,15.2,5/10/2020,2187,90,1764,333,Europe
,Cuba,21.521757,-77.781167,5/10/2020,1766,77,1193,496,Americas
,Cyprus,35.1264,33.4299,5/10/2020,898,16,401,481,Europe
,Czechia,49.8175,15.473,5/10/2020,8123,280,4474,3369,Europe
Faroe Islands,Denmark,61.8926,-6.9118,5/10/2020,187,0,187,0,Europe
Greenland,Greenland,71.7069,-42.6043,5/10/2020,11,0,11,0,Europe
,Denmark,56.2639,9.5018,5/10/2020,10429,529,8217,1683,Europe
,Djibouti,11.8251,42.5903,5/10/2020,1210,3,847,360,Eastern Mediterranean
,Dominican Republic,18.7357,-70.1627,5/10/2020,10347,388,2763,7196,Americas
,Ecuador,-1.8312,-78.1834,5/10/2020,29559,2127,3433,23999,Americas
,Egypt,26.820553,30.802498,5/10/2020,9400,525,2075,6800,Eastern Mediterranean
,El Salvador,13.7942,-88.8965,5/10/2020,889,17,293,579,Americas
,Equatorial Guinea,1.6508,10.2679,5/10/2020,439,4,13,422,Africa
,Eritrea,15.1794,39.7823,5/10/2020,39,0,37,2,Africa
,Estonia,58.5953,25.0136,5/10/2020,1739,60,750,929,Europe
,Eswatini,-26.5225,31.4659,5/10/2020,172,2,27,143,Africa
,Ethiopia,9.145,40.4897,5/10/2020,239,5,99,135,Africa
,Fiji,-17.7134,178.065,5/10/2020,18,0,14,4,Western Pacific
,Finland,61.92411,25.748151,5/10/2020,5962,267,4000,1695,Europe
French Guiana,France,3.9339,-53.1258,5/10/2020,144,1,122,21,Europe
French Polynesia,France,-17.6797,149.4068,5/10/2020,60,0,56,4,Europe
Guadeloupe,France,16.265,-61.551,5/10/2020,154,13,104,37,Europe
Mayotte,France,-12.8275,45.166244,5/10/2020,1023,11,492,520,Europe
New Caledonia,France,-20.904305,165.618042,5/10/2020,18,0,18,0,Europe
Reunion,France,-21.1151,55.5364,5/10/2020,436,0,354,82,Europe
Saint Barthelemy,France,17.9,-62.8333,5/10/2020,6,0,6,0,Europe
St Martin,France,18.0708,-63.0501,5/10/2020,39,3,30,6,Europe
Martinique,France,14.6415,-61.0242,5/10/2020,186,14,83,89,Europe
,France,46.2276,2.2137,5/10/2020,175027,26341,55062,93624,Europe
,Gabon,-0.8037,11.6094,5/10/2020,661,8,110,543,Africa
,Gambia,13.4432,-15.3101,5/10/2020,20,1,9,10,Africa
,Georgia,42.3154,43.3569,5/10/2020,635,10,309,316,Europe
,Germany,51.165691,10.451526,5/10/2020,171879,7569,144400,19910,Europe
,Ghana,7.9465,-1.0232,5/10/2020,4263,22,378,3863,Africa
,Greece,39.0742,21.8243,5/10/2020,2716,151,1374,1191,Europe
,Guatemala,15.7835,-90.2308,5/10/2020,1052,26,110,916,Americas
,Guinea,9.9456,-9.6966,5/10/2020,2146,11,714,1421,Africa
,Guyana,4.860416,-58.93018,5/10/2020,104,10,35,59,Americas
,Haiti,18.9712,-72.2852,5/10/2020,182,15,17,150,Americas
,Holy See,41.9029,12.4534,5/10/2020,12,0,2,10,Europe
,Honduras,15.2,-86.2419,5/10/2020,1972,108,203,1661,Americas
,Hungary,47.1625,19.5033,5/10/2020,3263,413,933,1917,Europe
,Iceland,64.9631,-19.0208,5/10/2020,1801,10,1773,18,Europe
,India,20.593684,78.96288,5/10/2020,67161,2212,20969,43980,South-East Asia
,Indonesia,-0.7893,113.9213,5/10/2020,14032,973,2698,10361,South-East Asia
,Iran,32.427908,53.688046,5/10/2020,107603,6640,86143,14820,Eastern Mediterranean
,Iraq,33.223191,43.679291,5/10/2020,2767,109,1734,924,Eastern Mediterranean
,Ireland,53.1424,-7.6921,5/10/2020,22996,1458,17110,4428,Europe
,Israel,31.046051,34.851612,5/10/2020,16477,252,11430,4795,Europe
,Italy,41.87194,12.56738,5/10/2020,219070,30560,105186,83324,Europe
,Jamaica,18.1096,-77.2975,5/10/2020,502,9,90,403,Americas
,Japan,36.204824,138.252924,5/10/2020,15824,666,8127,7031,Western Pacific
,Jordan,31.24,36.51,5/10/2020,540,9,389,142,Eastern Mediterranean
,Kazakhstan,48.0196,66.9237,5/10/2020,5090,31,1941,3118,Europe
,Kenya,-0.0236,37.9062,5/10/2020,672,32,239,401,Africa
,South Korea,35.907757,127.766922,5/10/2020,10909,256,9632,1021,Western Pacific
,Kuwait,29.31166,47.481766,5/10/2020,8688,58,2729,5901,Eastern Mediterranean
,Kyrgyzstan,41.20438,74.766098,5/10/2020,1002,12,675,315,Europe
,Latvia,56.8796,24.6032,5/10/2020,939,18,464,457,Europe
,Lebanon,33.8547,35.8623,5/10/2020,845,26,234,585,Eastern Mediterranean
,Liberia,6.428055,-9.429499,5/10/2020,199,20,79,100,Africa
,Liechtenstein,47.14,9.55,5/10/2020,82,1,81,0,Europe
,Lithuania,55.1694,23.8813,5/10/2020,1479,50,828,601,Europe
,Luxembourg,49.8153,6.1296,5/10/2020,3886,101,3586,199,Europe
,Madagascar,-18.766947,46.869107,5/10/2020,193,0,101,92,Africa
,Malaysia,4.210484,101.975766,5/10/2020,6656,108,5025,1523,Western Pacific
,Maldives,3.2028,73.2207,5/10/2020,835,3,29,803,South-East Asia
,Malta,35.9375,14.3754,5/10/2020,496,5,433,58,Europe
,Mauritania,21.0079,-10.9408,5/10/2020,8,1,6,1,Africa
,Mauritius,-20.348404,57.552152,5/10/2020,332,10,320,2,Africa
,Mexico,23.6345,-102.5528,5/10/2020,35022,3465,21824,9733,Americas
,Moldova,47.4116,28.3699,5/10/2020,4927,169,1958,2800,Europe
,Monaco,43.7333,7.4167,5/10/2020,96,4,82,10,Europe
,Mongolia,46.8625,103.8467,5/10/2020,42,0,14,28,Western Pacific
,Montenegro,42.708678,19.37439,5/10/2020,324,9,290,25,Europe
,Morocco,31.7917,-7.0926,5/10/2020,6063,188,2554,3321,Eastern Mediterranean
,Namibia,-22.9576,18.4904,5/10/2020,16,0,11,5,Africa
,Nepal,28.1667,84.25,5/10/2020,110,0,31,79,South-East Asia
Aruba,Netherlands,12.5211,-69.9683,5/10/2020,101,3,89,9,Europe
Curacao,Netherlands,12.1696,-68.99,5/10/2020,16,1,14,1,Europe
Sint Maarten,Netherlands,18.0425,-63.0548,5/10/2020,76,15,46,15,Europe
,Netherlands,52.1326,5.2913,5/10/2020,42627,5440,0,37187,Europe
,New Zealand,-40.9006,174.886,5/10/2020,1497,21,1386,90,Western Pacific
,Nicaragua,12.865416,-85.207229,5/10/2020,16,5,7,4,Americas
,Niger,17.607789,8.081666,5/10/2020,821,46,624,151,Africa
,Nigeria,9.082,8.6753,5/10/2020,4399,143,778,3478,Africa
,North Macedonia,41.6086,21.7453,5/10/2020,1642,91,1136,415,Europe
,Norway,60.472,8.4689,5/10/2020,8105,219,32,7854,Europe
,Oman,21.512583,55.923255,5/10/2020,3399,17,1117,2265,Eastern Mediterranean
,Pakistan,30.3753,69.3451,5/10/2020,32081,706,8555,22820,Eastern Mediterranean
,Panama,8.538,-80.7821,5/10/2020,8448,244,4687,3517,Americas
,Papua New Guinea,-6.314993,143.95555,5/10/2020,8,0,8,0,Western Pacific
